athleteId,Name,Coach,season,teamId,conference_level,NBA_Probability,Actual_NBA,oneYears,prev_NBA_Probability,NBA_Prob_Change,High_Transfer,Actual_Transfer,prev_High_Transfer,Transfer_Prob_Change,Team,Actually Entered,Predicted to Enter,Probability of Entering,eventually_NBA,Coach_ID,conference,color
3316.0,Justice Williams,Andrew Toole,2023,244,Other,0.0,0.0,0.0,0.0,0.0,0.014691553672452,0.0,0.0,0.014691553672452,robert morris,0.0,0.0,0.1622522417200349,0,244_Andrew_Toole,Horizon,#16234a
3317.0,Amani Hansberry,Brad Underwood *,2023,118,P5,0.0,0.0,1.0,0.0,0.0,,,,,illinois,1.0,0.0,0.18810104065875,0,118_Brad_Underwood_*,Big Ten,#e0322a
3318.0,Sencire Harris,Brad Underwood *,2022,118,P5,0.0,0.0,1.0,0.0,0.0,,,,,illinois,1.0,0.0,0.2668666575903052,0,118_Brad_Underwood_*,Big Ten,#e0322a
3319.0,Tucker DeVries,Darian DeVries,2021,70,Other,0.3604518823481093,0.0,1.0,0.0,0.3604518823481093,0.5987461979638454,0.0,0.0,0.5987461979638454,drake,0.0,0.0,0.2109866328597156,0,70_Darian_DeVries,MVC,#002181
3319.0,Tucker DeVries,Darian DeVries,2022,70,Other,0.6821052924419176,0.0,0.0,0.3604518823481093,0.3216534100938083,0.5981969846089724,0.0,0.5987461979638454,-0.000549213354873,drake,0.0,1.0,0.3801200979339737,0,70_Darian_DeVries,MVC,#002181
3319.0,Tucker DeVries,Darian DeVries,2023,70,Other,0.540982813512686,0.0,0.0,0.6821052924419176,-0.1411224789292317,0.8121298092685235,1.0,0.5981969846089724,0.2139328246595511,drake,1.0,1.0,0.2746828241356668,0,70_Darian_DeVries,MVC,#002181
3320.0,Javon Small,Joe Dooley,2021,74,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,east carolina,0.0,1.0,0.4737291545187358,0,74_Joe_Dooley,American,#6944a0
3320.0,Javon Small,Michael Schwartz,2022,74,Other,0.0069282639745007,0.0,0.0,0.0,0.0069282639745007,0.7138903994898365,1.0,0.0,0.7138903994898365,east carolina,1.0,1.0,0.4655724242111904,0,74_Michael_Schwartz,American,#6944a0
3320.0,Javon Small,Michael Boynton,2023,218,P5,0.3298860288912867,0.0,0.0,0.0069282639745007,0.322957764916786,,,,,oklahoma state,1.0,0.0,0.1738838551370018,0,218_Michael_Boynton,Big 12,#FF6600
3321.0,Toby Okani,Keith Dambrot,2021,73,Other,0.0,0.0,0.0,0.0,0.0,0.00796942435292,0.0,0.024219856970541,-0.0162504326176209,duquesne,1.0,1.0,0.2671437681330382,0,73_Keith_Dambrot,A-10,#000144
3321.0,Toby Okani,Luke Yaklich,2022,315,Other,0.001991811023622,0.0,0.0,0.0,0.001991811023622,0.3443901046508282,0.0,0.00796942435292,0.3364206802979081,uic,0.0,1.0,0.4257472892618745,0,315_Luke_Yaklich,Horizon,black
3321.0,Toby Okani,Luke Yaklich,2023,315,Other,0.001,0.0,0.0,0.001991811023622,-0.000991811023622,0.6916971080811832,1.0,0.3443901046508282,0.347307003430355,uic,1.0,1.0,0.3009064991758097,0,315_Luke_Yaklich,MVC,black
3323.0,Eduardo Andre,Fred Hoiberg,2021,188,P5,0.0,0.0,0.0,0.0,0.0,,,,,nebraska,1.0,1.0,0.3908965578828955,0,188_Fred_Hoiberg,Big Ten,#e51937
3323.0,Eduardo Andre,Justin Hutson,2022,92,Other,0.0048322393417754,0.0,0.0,0.0,0.0048322393417754,0.2385649957401115,0.0,0.0,0.2385649957401115,fresno state,0.0,0.0,0.1877529636148527,0,92_Justin_Hutson,Mountain West,#d6083b
3323.0,Eduardo Andre,Justin Hutson,2023,92,Other,0.0,0.0,0.0,0.0048322393417754,-0.0048322393417754,0.6501685627303426,1.0,0.2385649957401115,0.411603566990231,fresno state,1.0,1.0,0.3379570216241174,0,92_Justin_Hutson,Mountain West,#d6083b
3327.0,Joseph Yesufu,Bill Self,2021,131,P5,0.0,0.0,0.0,0.001,-0.001,,,,,kansas,0.0,1.0,0.2793689825951875,0,131_Bill_Self,Big 12,#006ab5
3327.0,Joseph Yesufu,Bill Self,2022,131,P5,0.0,0.0,0.0,0.0,0.0,,,,,kansas,1.0,1.0,0.3487076244486452,0,131_Bill_Self,Big 12,#006ab5
3328.0,Ofri Naveh,Josh Eilert,2023,347,P5,0.0,0.0,1.0,0.0,0.0,,,,,west virginia,0.0,1.0,0.4639461795706143,0,347_Josh_Eilert,Big 12,#00447c
3332.0,Jayden Stone,Bryce Drew,2021,104,Other,0.0,0.0,0.0,0.0,0.0,0.0119757528353539,0.0,0.0,0.0119757528353539,grand canyon,1.0,1.0,0.2812742736386845,0,104_Bryce_Drew,WAC,#4e0c76
3332.0,Jayden Stone,Mike Davis,2022,69,Other,0.0,0.0,0.0,0.0,0.0,0.0435172930476083,0.0,0.0119757528353539,0.0315415402122543,detroit mercy,0.0,0.0,0.1895015050969412,0,69_Mike_Davis,Horizon,#003a8a
3332.0,Jayden Stone,Mike Davis,2023,69,Other,0.0028251871781119,0.0,0.0,0.0,0.0028251871781119,0.3760123489676229,0.0,0.0435172930476083,0.3324950559200146,detroit mercy,0.0,1.0,0.2376752061966429,0,69_Mike_Davis,Horizon,#003a8a
3333.0,Ocypher Owens,Nate Champion,2023,140,Other,0.0,0.0,1.0,0.0,0.0,0.0178777259638489,0.0,0.0,0.0178777259638489,le moyne,0.0,1.0,0.4011617426878517,0,140_Nate_Champion,,black
3334.0,Dwayne Koroma,KT Turner,2023,324,Other,0.0,0.0,0.0,0.0,0.0,0.0056685608519313,0.0,0.0,0.0056685608519313,ut arlington,1.0,0.0,0.2185463372315126,0,324_KT_Turner,WAC,#0064b1
3335.0,Zek Tekin,Carmen Maciariello,2022,264,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,siena,0.0,1.0,0.2615103367784858,0,264_Carmen_Maciariello,MAAC,#04523c
3335.0,Zek Tekin,Carmen Maciariello,2023,264,Other,0.0,0.0,0.0,0.0,0.0,0.0049805077418847,0.0,0.0,0.0049805077418847,siena,1.0,1.0,0.2932232255820717,0,264_Carmen_Maciariello,MAAC,#04523c
3336.0,Robby Carmody,Mike Brey,2022,213,P5,0.0,0.0,0.0,0.0,0.0,,,,,notre dame,1.0,0.0,0.155,0,213_Mike_Brey,ACC,#002b5c
3336.0,Robby Carmody,Greg Gary,2023,164,Other,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,mercer,1.0,0.0,0.1810357604357969,0,164_Greg_Gary,SoCon,#ec751f
3339.0,Nate Fouts,Nate Champion,2023,140,Other,0.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.001,le moyne,0.0,0.0,0.2113776056684146,0,140_Nate_Champion,,black
3341.0,Trent Mosquera,Nate Champion,2023,140,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,le moyne,0.0,1.0,0.4946806303028609,0,140_Nate_Champion,,black
3342.0,Will Amica,Dwayne Killings,2022,306,Other,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.008,ualbany,0.0,0.0,0.0890215213150572,0,306_Dwayne_Killings,Am. East,#1b2777
3342.0,Will Amica,Dwayne Killings,2023,306,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,-0.008,ualbany,1.0,0.0,0.1859960492589087,0,306_Dwayne_Killings,Am. East,#1b2777
3345.0,Kaelin Thomas,Nate Champion,2023,140,Other,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.008,,,,,0,140_Nate_Champion,,black
3347.0,AJ Dancler,Nate Champion,2023,140,Other,0.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.001,le moyne,0.0,1.0,0.4673978705689595,0,140_Nate_Champion,,black
3348.0,Darrick Jones Jr.,Pat Skerry,2021,301,Other,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.001,0.003,towson,1.0,0.0,0.0811137318603521,0,301_Pat_Skerry,CAA,#d7aa01
3348.0,Darrick Jones Jr.,Nate Champion,2023,140,Other,0.0,0.0,0.0,0.0,0.0,0.0162909529662541,0.0,0.004,0.0122909529662541,le moyne,0.0,0.0,0.1682423026630247,0,140_Nate_Champion,,black
3350.0,Chris Bell,Jim Boeheim *,2022,286,P5,0.0,0.0,1.0,0.0,0.0,,,,,syracuse,0.0,0.0,0.2172101361573366,0,286_Jim_Boeheim_*,ACC,#ff5113
3350.0,Chris Bell,Adrian Autry,2023,286,P5,0.001,0.0,0.0,0.0,0.001,,,,,syracuse,0.0,1.0,0.307,0,286_Adrian_Autry,ACC,#ff5113
3351.0,Eddie Lampkin Jr.,Jamie Dixon,2021,287,P5,0.0320642141853808,0.0,0.0,0.0,0.0320642141853808,,,,,tcu,0.0,0.0,0.122,0,287_Jamie_Dixon,Big 12,#34297a
3351.0,Eddie Lampkin Jr.,Jamie Dixon,2022,287,P5,0.0009546255253951,0.0,0.0,0.0320642141853808,-0.0311095886599857,,,,,tcu,1.0,0.0,0.2913765640635113,0,287_Jamie_Dixon,Big 12,#34297a
3351.0,Eddie Lampkin Jr.,Tad Boyle,2023,56,,,,,,,,,,,colorado,0.0,0.0,0.131,0,56_Tad_Boyle,Big 12,#000000
3351.0,Eddie Lampkin Jr.,Tad Boyle,2023,56,,,,,,,,,,,colorado,0.0,0.0,0.131,0,56_Tad_Boyle,Pac-12,#000000
3352.0,Jaquan Carlos,Speedy Claxton,2021,110,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hofstra,0.0,0.0,0.1212140712265503,0,110_Speedy_Claxton,CAA,#f6ba37
3352.0,Jaquan Carlos,Speedy Claxton,2022,110,Other,0.0,0.0,0.0,0.0,0.0,0.0209442709811713,0.0,0.0,0.0209442709811713,hofstra,0.0,0.0,0.2210718471626198,0,110_Speedy_Claxton,CAA,#f6ba37
3352.0,Jaquan Carlos,Speedy Claxton,2023,110,Other,0.001,0.0,0.0,0.0,0.001,0.6486740104946521,1.0,0.0209442709811713,0.6277297395134808,hofstra,1.0,0.0,0.2169225109576628,0,110_Speedy_Claxton,CAA,#f6ba37
3353.0,J.J. Starling,Mike Brey,2022,213,P5,0.002,0.0,1.0,0.0,0.002,,,,,notre dame,1.0,1.0,0.3922874328128999,0,213_Mike_Brey,ACC,#002b5c
3353.0,J.J. Starling,Adrian Autry,2023,286,P5,0.0,0.0,0.0,0.002,-0.002,,,,,syracuse,0.0,0.0,0.201,0,286_Adrian_Autry,ACC,#ff5113
3355.0,Jyare Davis,Martin Ingelsby,2021,66,Other,0.0,0.0,1.0,0.0,0.0,0.035213078323088,0.0,0.0,0.035213078323088,delaware,0.0,0.0,0.1263616561212381,0,66_Martin_Ingelsby,CAA,#00539f
3355.0,Jyare Davis,Martin Ingelsby,2022,66,Other,0.0,0.0,0.0,0.0,0.0,0.3882524059506845,0.0,0.035213078323088,0.3530393276275965,delaware,0.0,1.0,0.4955970723671155,0,66_Martin_Ingelsby,CAA,#00539f
3355.0,Jyare Davis,Martin Ingelsby,2023,66,Other,0.0311477614513888,0.0,0.0,0.0,0.0311477614513888,0.9016639716049548,1.0,0.3882524059506845,0.5134115656542703,delaware,1.0,1.0,0.2959236881857136,0,66_Martin_Ingelsby,CAA,#00539f
3357.0,Kyle Cuffe Jr.,Adrian Autry,2023,286,P5,0.0,0.0,1.0,0.0,0.0,,,,,syracuse,0.0,1.0,0.2993133562038672,0,286_Adrian_Autry,ACC,#ff5113
3358.0,Lucas Taylor,Steve Forbes,2021,342,P5,0.0,0.0,1.0,0.0,0.0,,,,,wake forest,0.0,1.0,0.2723685432371379,0,342_Steve_Forbes,ACC,#141414
3358.0,Lucas Taylor,Steve Forbes,2022,342,P5,0.0,0.0,0.0,0.0,0.0,,,,,wake forest,1.0,1.0,0.5800332698482261,0,342_Steve_Forbes,ACC,#141414
3358.0,Lucas Taylor,Jonas Hayes,2023,100,Other,0.0,0.0,0.0,0.0,0.0,0.6306126926928669,1.0,0.0,0.6306126926928669,georgia state,1.0,0.0,0.1317458416517888,0,100_Jonas_Hayes,Sun Belt,#005dab
3359.0,Chaz Owens,Jim Boeheim *,2021,286,P5,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0,286_Jim_Boeheim_*,ACC,black
3360.0,Naheem McLeod,Leonard Hamilton *,2021,90,P5,0.0,0.0,1.0,0.0,0.0,,,,,florida state,0.0,1.0,0.405093245753337,0,90_Leonard_Hamilton_*,ACC,#540115
3360.0,Naheem McLeod,Leonard Hamilton *,2022,90,P5,0.0,0.0,0.0,0.0,0.0,,,,,florida state,1.0,1.0,0.5209236716565224,0,90_Leonard_Hamilton_*,ACC,#540115
3360.0,Naheem McLeod,Adrian Autry,2023,286,P5,0.001,0.0,0.0,0.0,0.001,,,,,syracuse,0.0,1.0,0.3682248256786222,0,286_Adrian_Autry,ACC,#ff5113
3364.0,Anthony Clayton,Jim Boeheim *,2022,286,,,,,,,,,,,syracuse,0.0,0.0,0.116,0,286_Jim_Boeheim_*,ACC,#ff5113
3365.0,Chance Westry,Bruce Pearl,2022,16,P5,0.0,0.0,1.0,0.0,0.0,,,,,auburn,0.0,1.0,0.5733767177253567,0,16_Bruce_Pearl,SEC,#f58025
3367.0,Clarence Rupert,Shaheen Holloway,2021,254,Other,0.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.001,saint peters,1.0,0.0,0.191183088876102,0,254_Shaheen_Holloway,MAAC,#006bb6
3367.0,Clarence Rupert,Bryan Mullins,2022,273,Other,0.001,0.0,0.0,0.0,0.001,0.2101620985687648,0.0,0.001,0.2091620985687648,southern illinois,0.0,0.0,0.2217282182320671,0,273_Bryan_Mullins,MVC,#872e3f
3367.0,Clarence Rupert,Bryan Mullins,2023,273,Other,0.0,0.0,0.0,0.001,-0.001,0.3478122017095825,0.0,0.2101620985687648,0.1376501031408177,southern illinois,1.0,1.0,0.3020974836429361,0,273_Bryan_Mullins,MVC,#872e3f
3369.0,Dejour Reaves,Steve Smiley,2023,207,Other,0.0,0.0,1.0,0.0,0.0,0.4241928855070547,0.0,0.0,0.4241928855070547,northern colorado,1.0,1.0,0.3955674878357089,0,207_Steve_Smiley,Big Sky,#ffb500
3371.0,Luke Jungers,Chris Crutchfield,2022,221,Other,0.0,0.0,1.0,0.0,0.0,0.002,0.0,0.0,0.002,omaha,0.0,0.0,0.1502618413720572,0,221_Chris_Crutchfield,Summit,black
3371.0,Luke Jungers,Chris Crutchfield,2023,221,Other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,-0.001,omaha,1.0,0.0,0.1547336542477901,0,221_Chris_Crutchfield,Summit,black
3375.0,Comeh Emuobor,Johnny Dawkins Jr,2023,312,P5,0.0,0.0,1.0,0.0,0.0,,,,,ucf,1.0,1.0,0.4529889579364868,0,312_Johnny_Dawkins_Jr,American,#bba378
3380.0,Christian Winborne,Billy Lange,2022,251,Other,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.008,,,,,0,251_Billy_Lange,A-10,black
3382.0,Jacob Huggins,Mitch Henderson,2023,234,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,princeton,0.0,0.0,0.1059615648279402,0,234_Mitch_Henderson,Ivy,#e87132
3383.0,Caden Pierce,Mitch Henderson,2022,234,Other,0.0,0.0,1.0,0.0,0.0,0.0245651803609168,0.0,0.0,0.0245651803609168,princeton,0.0,1.0,0.3217860889029577,0,234_Mitch_Henderson,Ivy,#e87132
3383.0,Caden Pierce,Mitch Henderson,2023,234,Other,0.1832429650466234,0.0,0.0,0.0,0.1832429650466234,0.5788725522972609,0.0,0.0245651803609168,0.554307371936344,princeton,0.0,0.0,0.1536994905983499,0,234_Mitch_Henderson,Ivy,#e87132
3384.0,Dalen Davis,Mitch Henderson,2023,234,Other,0.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.001,princeton,0.0,0.0,0.227967817722266,0,234_Mitch_Henderson,Ivy,#e87132
3385.0,Jackson Hicke,Mitch Henderson,2023,234,Other,0.0,0.0,1.0,0.0,0.0,0.001,0.0,0.0,0.001,princeton,0.0,0.0,0.1085824569175637,0,234_Mitch_Henderson,Ivy,#e87132
3386.0,Xaivian Lee,Mitch Henderson,2022,234,Other,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,princeton,0.0,1.0,0.3514386545372753,0,234_Mitch_Henderson,Ivy,#e87132
3386.0,Xaivian Lee,Mitch Henderson,2023,234,Other,0.1535687035510965,0.0,0.0,0.0,0.1535687035510965,0.7357036348964576,0.0,0.0,0.7357036348964576,princeton,0.0,1.0,0.3458032706086754,0,234_Mitch_Henderson,Ivy,#e87132
