Team,W,L,SRS,Pace,ORtg,Season,Coach,Coach_ID
uconn,24,11,17.87,64.6,117.6,2024,Dan Hurley,314_Dan_Hurley
coppin state,6,24,-21.26,69.2,89.5,2024,Larry Stewart,
cornell,18,11,0.91,72.2,117.8,2024,Jon Jaques,
creighton ,25,11,16.49,67.7,110.7,2024,Greg McDermott,61_Greg_McDermott
dartmouth,14,14,-4.74,71.9,107.1,2024,David McLaughlin,62_David_McLaughlin
davidson,17,16,1.02,66.6,109,2024,Matt McKillop,63_Matt_McKillop
dayton,23,11,8.14,66.1,112.4,2024,Anthony Grant,64_Anthony_Grant
delaware,16,20,-6.11,70.4,109.7,2024,Martin Ingelsby,66_Martin_Ingelsby
delaware state,16,14,-12.24,71.8,108.7,2024,Stan Waterman,67_Stan_Waterman
denver,11,21,-10.4,68.7,103.7,2024,Jeff Wulbrun,68_Jeff_Wulbrun
depaul,14,20,5.3,67.7,104.7,2024,Chris Holtmann,216_Chris_Holtmann
detroit mercy,8,24,-13.46,67.7,97.6,2024,Mark Montgomery,
drake ,31,4,9.6,60.2,114,2024,Ben McCollum,
drexel,18,15,-3.64,64.2,107.6,2024,Zach Spiker,71_Zach_Spiker
duke ,35,4,30.72,66.6,125,2024,Jon Scheyer,72_Jon_Scheyer
duquesne,13,19,1.18,65.4,104.8,2024,Dru Joyce III,
east carolina,19,14,-0.69,68,109.4,2024,Michael Schwartz,74_Michael_Schwartz
east tennessee state,19,13,-1.07,66.1,108.7,2024,Brooks Savage,
east texas a&m,5,26,-12.38,67.8,94.5,2024,Jaret von Rosenberg,76_Jaret_von_Rosenberg
eastern illinois,12,19,-12.62,67.9,97.2,2024,Marty Simmons,77_Marty_Simmons
eastern kentucky,18,14,-3.86,68.7,111.5,2024,A.W. Hamilton,78_A.W._Hamilton
eastern michigan,16,16,-9.21,68.3,106.8,2024,Stan Heath,79_Stan_Heath
eastern washington,10,22,-8.85,68.4,104.3,2024,Dan Monson,145_Dan_Monson
elon,17,16,-4.32,66.2,110.9,2024,Billy Taylor,81_Billy_Taylor
evansville,11,21,-6.02,67.1,98.4,2024,David Ragland,82_David_Ragland
fairfield,12,20,-14.52,66.7,100.9,2024,Chris Casey,
fdu,13,20,-11.96,69.2,104.9,2024,Jack Castleberry,
florida ,36,4,27.78,70.6,120.1,2024,Todd Golden,259_Todd_Golden
florida a&m,14,17,-13.37,69.3,104.1,2024,Patrick Crarey II,
florida atlantic,18,16,3.72,69.8,111.6,2024,John Jakus,
florida gulf coast,19,15,-2.89,65.6,110,2024,Patrick Chambers,88_Patrick_Chambers
florida international,10,23,-6.72,69.6,98,2024,Jeremy Ballard,89_Jeremy_Ballard
florida state,17,15,8.43,70.2,105.6,2024,Leonard Hamilton *,90_Leonard_Hamilton_*
fordham,12,21,-4.44,70.5,104.2,2024,Keith Urgo *,91_Keith_Urgo
fresno state,6,26,-5.6,70.7,97.3,2024,Vance Walberg,
furman,25,10,-0.15,67,113.9,2024,Bob Richey,93_Bob_Richey
gardner-webb,11,20,-8.21,70.2,105.1,2024,Jeremy Luther,
george mason,27,9,7.2,65.3,106.9,2024,Tony Skinn,
george washington,21,13,2,67.5,107.2,2024,Chris Caputo,96_Chris_Caputo
georgetown,18,16,8.18,68.4,105.2,2024,Ed Cooley,235_Ed_Cooley
georgia ,20,13,16.36,68.6,109.8,2024,Michael White,87_Michael_White
georgia southern,17,16,-7.53,70,104.4,2024,Charlie Henry,
georgia state,14,19,-7.51,69.8,107.3,2024,Jonas Hayes,100_Jonas_Hayes
georgia tech,17,17,6.3,69,104.4,2024,Damon Stoudamire,
