Coach_ID,conference_level,avg_NBA_Prob_first_year,avg_Transfer_Prob_first_year,avg_NBA_Prob_multi_year,avg_NBA_Prob_Change_multi_year,avg_Transfer_Prob_multi_year,avg_High_Transfer_first_year,avg_High_Transfer_multi_year,avg_high_transfer_prob_change_multi_year
100_Jonas_Hayes,Other,29.18848167539267,37.43455497382199,53.626943005181346,7.253886010362693,44.04145077720207,11.2565445026178,41.968911917098445,19.94818652849741
100_Rob_Lanier,Other,29.18848167539267,18.586387434554975,20.33678756476684,5.958549222797927,27.461139896373055,53.66492146596858,49.22279792746114,6.217616580310881
101_Damon_Stoudamire,P5,83.9622641509434,22.64150943396226,5.660377358490567,8.49056603773585,41.509433962264154,,,
101_Josh_Pastner_*,P5,21.69811320754717,40.56603773584906,25.471698113207548,36.79245283018868,6.6037735849056585,,,
102_Mark_Few,Other,98.42931937172776,39.52879581151832,100.0,98.70466321243524,5.181347150259067,68.06282722513089,86.52849740932642,75.64766839378238
103_Donte_Jackson,Other,62.82722513089005,43.717277486910994,32.90155440414508,34.4559585492228,13.989637305699482,77.74869109947645,5.699481865284974,5.181347150259067
104_Bryce_Drew,Other,79.05759162303664,67.27748691099477,72.7979274611399,76.68393782383419,40.15544041450777,66.75392670157068,91.70984455958549,84.19689119170984
105_Sundance_Wicks,Other,29.18848167539267,66.2303664921466,72.53886010362694,78.75647668393782,45.33678756476684,40.575916230366495,90.41450777202073,96.11398963730569
105_Will_Ryan,Other,87.17277486910994,57.32984293193717,6.476683937823833,13.601036269430052,23.316062176165804,81.15183246073299,32.38341968911917,58.03108808290155
106_Edward_Joyner_Jr,Other,29.18848167539267,23.036649214659686,60.362694300518136,47.66839378238342,24.352331606217618,89.52879581151832,15.544041450777202,24.870466321243523
107_Tommy_Amaker,Other,59.554973821989535,18.06282722513089,56.994818652849744,61.917098445595855,16.83937823834197,78.53403141361257,74.87046632124353,91.70984455958549
108_Eran_Ganot,Other,29.18848167539267,54.973821989528794,12.953367875647666,25.129533678756477,23.05699481865285,3.1413612565445024,22.279792746113987,16.580310880829018
109_Alan_Huss,Other,74.60732984293193,57.06806282722513,83.93782383419689,86.78756476683938,6.994818652849741,33.50785340314136,97.66839378238342,97.66839378238342
109_G.G._Smith,Other,29.18848167539267,27.748691099476442,33.93782383419689,12.176165803108809,49.48186528497409,0.5235602094240838,79.27461139896373,78.49740932642487
109_Tubby_Smith,Other,90.83769633507853,51.30890052356021,6.476683937823833,5.181347150259067,67.09844559585493,96.33507853403141,78.75647668393782,69.94818652849742
10_Bobby_Hurley,P5,14.150943396226415,93.86792452830188,16.037735849056602,21.69811320754717,93.86792452830188,,,
110_Speedy_Claxton,Other,76.8324607329843,50.0,77.97927461139896,78.23834196891191,70.20725388601036,24.60732984293194,79.01554404145078,82.38341968911918
111_Brett_Nelson,Other,66.09947643979058,36.64921465968586,49.09326424870466,45.46632124352332,38.860103626943,43.97905759162304,13.21243523316062,25.906735751295333
111_Dave_Paulsen,Other,29.18848167539267,14.397905759162304,45.59585492227979,56.21761658031088,11.917098445595855,5.366492146596859,42.2279792746114,50.77720207253886
112_Ron_Cottrell,Other,81.80628272251309,21.98952879581152,14.378238341968913,32.64248704663213,8.290155440414509,30.104712041884817,48.18652849740933,66.32124352331607
113_Kelvin_Sampson,Other,99.47643979057592,45.287958115183244,98.18652849740933,99.22279792746113,2.849740932642487,98.69109947643979,97.15025906735751,97.15025906735751
113_Kelvin_Sampson,P5,38.67924528301887,30.188679245283023,77.35849056603774,90.56603773584906,81.13207547169812,,,
114_Kenneth_Blakeney,Other,68.06282722513089,32.460732984293195,72.279792746114,77.46113989637306,26.165803108808287,65.44502617801047,40.932642487046635,58.2901554404145
115_Matt_Crenshaw,Other,29.18848167539267,58.63874345549738,6.476683937823833,25.129533678756477,42.74611398963731,29.581151832460733,4.145077720207254,15.025906735751295
116_Ryan_Looney,Other,62.82722513089005,75.91623036649214,43.26424870466321,40.41450777202073,80.31088082901555,87.95811518324608,38.082901554404145,47.40932642487047
117_Alex_Pribble,Other,29.18848167539267,98.1675392670157,6.476683937823833,25.129533678756477,7.772020725388601,71.46596858638743,0.2590673575129534,7.772020725388601
117_Zac_Claus,Other,85.6020942408377,96.33507853403141,6.476683937823833,13.601036269430052,84.19689119170984,83.24607329842932,5.181347150259067,19.689119170984455
118_Brad_Underwood_*,P5,56.60377358490566,59.43396226415094,85.84905660377359,80.18867924528303,67.9245283018868,,,
119_Dan_Muller,Other,29.18848167539267,60.994764397905755,80.05181347150258,83.93782383419689,63.47150259067358,45.287958115183244,75.38860103626943,87.8238341968912
119_Ryan_Pedon,Other,29.18848167539267,89.26701570680629,68.65284974093264,69.94818652849742,86.52849740932642,76.43979057591623,53.10880829015544,30.569948186528496
11_Tommy_Lloyd,P5,44.339622641509436,93.86792452830188,98.11320754716981,96.22641509433963,93.86792452830188,,,
120_Carson_Cunningham,Other,72.64397905759162,88.7434554973822,17.746113989637305,25.129533678756477,94.30051813471503,74.60732984293193,8.808290155440414,22.53886010362694
120_Shane_Heirman,Other,86.12565445026178,53.66492146596858,38.34196891191709,49.48186528497409,22.797927461139896,56.80628272251309,4.66321243523316,16.321243523316063
121_Mike_Woodson,P5,87.73584905660378,32.07547169811321,78.30188679245283,55.660377358490564,29.24528301886793,,,
122_Josh_Schertz,Other,95.02617801047121,78.53403141361257,97.66839378238342,98.44559585492227,61.917098445595855,79.31937172774869,80.82901554404145,70.72538860103627
